OLTP Datasource,Version,Datasource Type,Application Component,Delta,Real Time,EXMETHOD,Table For Extraction,Extractor Structure,Last Changed By ,Last Changed Date,Last Changed Time,TXTSH,TXTMD,TXTLG
0IQM_RESULTS,D,TRAN,0VERIFICATION,NEWE,X,V,SIQMRESULTS,IQM_S_RESULTS,SAP,30.05.2008,07:34:39,IQ Results,Information Quality Results,Information Quality Results
0IQM_MESSAGES,D,TRAN,0VERIFICATION,NEWE,X,V,SIQMRESULTMSG,IQM_S_MESSAGES,SAP,30.05.2008,07:35:14,IQ Messages,Information Quality Messages,Information Quality Messages
0IQM_KEYS,D,ATTR,0VERIFICATION,NEWE,X,V,SIQMKEYS,IQM_S_KEYS,SAP,30.05.2008,07:35:11,IQ Object Key,Information Quality Object Key,Information Quality Object Key
0IQM_RELATIONTYPE,D,TEXT,0VERIFICATION,,,D,SIQM_RELATIONTYPE,ROTEXTSTR1,SAP,30.05.2008,07:35:12,IQM Reference Type,IQM Reference Type,Reference Type (Information Quality)
0IQM_CHECKSCOPE,D,TEXT,0VERIFICATION,,,D,SIQM_CHECKSCOPE,ROTEXTSTR1,SAP,30.05.2008,07:35:10,IQM Checking Scope,IQM Checking Scope,Checking Scope (Information Quality)
0IQM_CHECKKIND,D,TEXT,0VERIFICATION,,,D,SIQM_CHECKKIND,ROTEXTSTR1,SAP,30.05.2008,07:35:09,IQM Type of Check,IQM Type of Check,Type of Check (Information Quality)
0IQM_CHECKCATEGORY,D,TEXT,0VERIFICATION,,,D,SIQM_CHECKCATEGORY,ROTEXTSTR1,SAP,30.05.2008,07:35:08,IQM Checking Categ.,IQM Checking Categ.,Checking Category (Information Quality)
0BPM_CATID_TEXT,D,TEXT,0BPM-IO,,,D,SIBFCATID,ROTEXTSTR1,SAP,14.02.2005,16:24:04,Category of Objects,Category of Objects,Category of Objects in Persistent Object References
0VER_SFLIGHT_TRAN,D,TRAN,0VERIFICATION-DATA,AIE,X,V,SFLIGHT,ROXBYA0012,SAP,04.05.2006,14:38:16,Flight,Flight,Flight (SFLIGHT Table)
ZDEMODS1,A,TRAN,BW,,,V,SFLIGHT,ZOXA4H0133,BEST,23.06.2025,17:22:56,Flight DS,Flight DS to BW,Extract Flight DS to BW
ZSDEMODS1,A,TRAN,DM-IO,,,V,SFLIGHT,ZOXA4H0143,BEST,10.09.2025,17:02:53,Flifhht Ds,Flight data source,Extractor sfligyht to bw
0TCTSIGN_TEXT,D,TEXT,TCT,,,D,SCOMSIGN,ROTEXTSTR1,SAP,18.07.2012,14:01:42,Sign Analog Ranges,Sign Analogous to Ranges Table,Sign Analogous to Ranges Table
0CSM_SSTA_TEXT,D,TEXT,0CS_CS-IO,,,V,SCMGSTATT,ROXSE30021,SAP,13.02.2003,15:48:53,CM: Sys. Status Text,Case Management: System Status Text,Case Management: System Status Text
0CSM_SPRO_TEXT,D,TEXT,0CS_CS-IO,,,V,SCMGSTATPROFT,ROXSE30026,SAP,13.02.2003,15:48:30,CM: Stat. Prof. Text,Case Management: Status Profile Text,Case Management: Status Profile Text
0CSM_STAT_TEXT,D,TEXT,0CS_CS-IO,,,V,SCMGSTATPROFST,ROXSE30027,SAP,13.02.2003,15:49:20,CM: Status Text,Case Management: Status Text,Case Management: Status Text
0CSM_PRCS_TEXT,D,TEXT,0CS_CS-IO,,,V,SCMGPROCT,ROXSE30022,SAP,13.02.2003,15:47:20,CM: Process Text,Case Management: Process Text,Case Management: Process Text
0CSM_TYPE_TEXT,D,TEXT,0CS_CS-IO,,,V,SCMGCASETYPET,ROXSE30012,SAP,13.02.2003,15:50:01,CM: Case Type Text,Case Management: Case Type Text,Case Management: Case Type Text
0CSM_TYPE_ATTR,D,ATTR,0CS_CS-IO,,,V,SCMGCASETYPE,ROXSE30016,SAP,13.02.2003,15:49:47,CM: Case Type Attr.,Case Management: Case Type Attribute,Case Management: Case Type Attribute
0CSM_SECU_TEXT,D,TEXT,0CS_CS-IO,,,V,SCMGAUT_SECLEVLT,ROXSE30020,SAP,13.02.2003,15:48:16,CM: Auth. Level Text,Case Management: Authoriztn Level Text,Case Management: Authorization Level Text
0CSM_ESCA_TEXT,D,TEXT,0CS_CS-IO,,,V,SCMGATTR_SESCALT,ROXSE30019,SAP,13.02.2003,15:46:56,CM: Escalation Text,Case Management: Escalation Text,Case Management: Escalation Text
0CSM_RCOD_TEXT,D,TEXT,0CS_CS-IO,,,V,SCMGATTR_REASONT,ROXSE30017,SAP,13.02.2003,15:47:59,CM: Reason Text,Case Management: Reason Text,Case Management: Reason Text
0CSM_PRIO_TEXT,D,TEXT,0CS_CS-IO,,,V,SCMGATTR_PRIOT,ROXSE30011,SAP,13.02.2003,15:49:06,CM: Priority Texts,Case Management: Priority Texts,Case Management: Priority Texts
0CSM_CATE_TEXT,D,TEXT,0CS_CS-IO,,,V,SCMGATTR_CATEGOT,ROXSE30018,SAP,13.02.2003,15:46:40,CM: Category Text,Case Management: Category Text,Case Management: Category Text
0VER_SCARR_ATTR,D,ATTR,0VERIFICATION-ATTRIBUTES,,,V,SCARR,ROXBYA0023,SAP,29.08.2006,13:34:51,Airline (A),Airline (Attribute),Airline (Attribute)
0VER_SCARR_TEXT,D,TEXT,0VERIFICATION-TEXTS,,,V,SCARR,ROXBYA0024,SAP,29.08.2006,13:47:49,Airline (T),Airline (Text),Airline (Text)
0BPM_ALERT_STATUS_TEXT,D,TEXT,0BPM-IO,,,D,SALRTOSTAT,ROTEXTSTR1,SAP,18.02.2005,12:59:17,Alert Status,Alert Status,Alert Status
0BPM_ALERT_PRIO_TEXT,D,TEXT,0BPM-IO,,,D,SALRTOPRIO,ROTEXTSTR1,SAP,18.02.2005,12:54:07,Alert Priority,Alert Priority,Alert Priority
0BPM_ALERT_CAT_TEXT,D,TEXT,0BPM-IO,,,V,SALRTCATT,SALRTCATT,SAP,18.02.2005,12:50:25,Alert Category Text,Alert Category Text,Alert Category Text
0BPM_ALERT_CAT_CLASS_TEXT,D,TEXT,0BPM-IO,,,V,SALRTCATCT,SALRTCATCT,SAP,18.02.2005,12:50:57,AlertCat:ClassTexts,Alert Category: Classification Texts,Alert Category: Classification Texts
0BPM_ALERT_CAT_ATTR,D,ATTR,0BPM-IO,,,V,SALRTCAT,SALRTCAT,SAP,18.02.2005,12:57:42,AlertCat Definition,Alert Category Definition,Alert Category Definition
0TCTOPTION_TEXT,D,TEXT,TCT,,,D,S_OPTION,ROTEXTSTR1,SAP,18.07.2012,14:01:31,Option Analog Ranges,Option Analogous to Ranges Table,Option Analogous to Ranges Table
0TCTELEMTYP_TEXT,D,TEXT,TCT,,,D,RSZDEFTP,ROTEXTSTR1,SAP,18.07.2012,14:01:17,Query Element Type,Query Element Type,BW Metadata: Query Element Type
0VER_CHARNO_DATA,D,TRAN,0VERIFICATION-DATA,,,F2,RSVL_CHARNO_GET_TEXTS,ROVERCHART,SAP,27.09.2002,13:43:27,SAP character set,SAP character set,SAP character set
0VER_CHARNO_TEXT,D,TEXT,0VERIFICATION-TEXTS,,,F2,RSVL_CHARNO_GET_TEXTS,ROVERCHART,SAP,27.09.2002,13:43:28,SAP character set,SAP character set,SAP character set
0VER_CHARNO_ATTR,D,ATTR,0VERIFICATION-ATTRIBUTES,,,F2,RSVL_CHARNO_GET_MASTER_DATA,ROVERCHAR,SAP,27.09.2002,13:43:26,SAP character set,SAP character set,SAP character set
0VER_CHAR_TEXT,D,TEXT,0VERIFICATION-TEXTS,,,F2,RSVL_CHAR_GET_TEXTS,ROVERCHARTEXT,SAP,06.06.2011,17:59:59,Valid Character,Valid Character,Valid Character
0VER_CHAR_ATTR,D,ATTR,0VERIFICATION-ATTRIBUTES,,,F2,RSVL_CHAR_GET_MASTER_DATA,ROVERCHARATTR,SAP,06.06.2011,18:02:10,Valid Character,Valid Character,Valid Character
0VER_EDELTA_TRAN,D,TRAN,0VERIFICATION-DATA,CUBE,,F1,RSVDELTA_EDELTA_GET,ROVERCUBE_S,SAP,04.04.2001,11:05:19,Extractor Delta Test,Extractor Delta Test,Extractor Delta Test
0VER_DDELTA_TRAN,D,TRAN,0VERIFICATION-DATA,NEWD,,F1,RSVDELTA_DDELTA_GET,ROVERCUBE_S,SAP,11.04.2002,14:51:16,Extractor Delta Test,Extractor Delta Test,Extractor Delta Test
0VER_DDELTA_TRAN_NEW,D,TRAN,0VERIFICATION-DATA,NEWD,,F1,RSVDELTA_DDELTA_GET,ROVERCUBE_S,SAP,19.08.2005,19:29:19,Extractor Delta Test,Extractor Delta Test,Extractor Delta Test
0VER_CUBE_OLD_LIS,D,TRAN,0VERIFICATION-DATA,CUBE,,F1,RSVD_BW_GET_DELTA_DATA,ROVERCUBE2,SAP,21.08.2001,12:07:09,DS with Initcommit,DataSource with Initcommit,Delta and Repeat-Capable DataSource with Initcommit
0VER_DELTA_WITH_LONG_NAME,D,TRAN,0VERIFICATION-DATA,CUBE,,F1,RSVD_BW_GET_DELTA_DATA,ROVERCUBE2,SAP,21.08.2001,11:07:24,Long Delta Source,Long Delta Source,Delta-Capable DataSource with Long Name
0VER_CUBE_WITH_ARCHIVE,D,TRAN,0VERIFICATION-DATA,CUBE,,F1,RSVD_BW_GET_DATA_WITH_ARCHIVE,ROVERCUBE2,SAP,21.08.2001,12:07:11,With Archiving Link,DataSource with Archiving Link,Delta-Capable DataSource with Archiving Link
0VER_TYPE_ATTR,D,ATTR,0VERIFICATION-ATTRIBUTES,AIE,,F1,RSVD_BW_GET_DATA,ROVERTYPAS,SAP,22.07.2010,21:33:21,Test Type,Test Type in Verification Scenario,Test Type in Verification Scenario
0VER_TYPE_ATTR_NEW,D,ATTR,0VERIFICATION-ATTRIBUTES,AIED,,F1,RSVD_BW_GET_DATA,ROVERTYPAS,SAP,16.08.2005,10:26:42,Test Type,Test Type in Verification Scenario,Test Type in Verification Scenario
0VER_FIELD_HIER_6,D,HIER,0VERIFICATION-HIERARCHIES,,,F1,RSV7_HIERARCHY_TRANSFER_TEST_6,ROVERFHSE6,SAP,19.07.2010,18:40:38,Without IDOC Trans.,Without IDOC Transfer,New Hchy DataSource w/o IDOC Trans. with Time-Dep. Nodes
0VER_FIELD_HIER_4,D,HIER,0VERIFICATION-HIERARCHIES,,,F1,RSV7_HIERARCHY_TRANSFER_TEST_4,ROHIEROS,SAP,21.03.2006,19:25:41,Without Intervals,Without Intervals,Hierarchy DataSource for tRFC Transfer Without Intervals
0VER_FIELD_HIER_3,D,HIER,0VERIFICATION-HIERARCHIES,,,F1,RSV7_HIERARCHY_TRANSFER_TEST_3,ROHIEROS,SAP,19.08.2008,15:18:24,Hierarchy Test Field,Hierarchy Using Test Fields,Hierarchy using Test Field (alt. comp. for OVER_FIELD_HIER)
0VER_FIELD_HIER_2,D,HIER,0VERIFICATION-HIERARCHIES,,,F1,RSV7_HIERARCHY_TRANSFER_TEST_2,ROHIEROS,SAP,19.08.2008,15:17:39,Without IDOC Trans.,Without IDOC Transfer,New Hierarchy DataSource without IDOC Transfer
0VER_FIELD_HIER,D,HIER,0VERIFICATION-HIERARCHIES,,,F1,RSV7_HIERARCHY_TRANSFER_TEST,ROHIEROS,SAP,22.07.2010,15:18:34,Hierarchy Test Field,Hierarchy Using Test Fields,Hierarchy using Test Fields (Fixed Structure IDOC Only)
0VER_FIELD_HIER_5,D,HIER,0VERIFICATION-HIERARCHIES,,,F1,RSV7_HIERARCHY_TRANSFER_TEST,ROHIEROS,SAP,21.03.2006,19:26:23,Hierarchy Test Field,Hierarchy Using Test Fields,Hierarchy Using Test Fields (IDOC Structures but with PSA)
0VER_FIELD_HIER_NEW,D,HIER,0VERIFICATION-HIERARCHIES,,,F1,RSV7_HIERARCHY_TRANSFER_TEST,ROHIEROS,SAP,16.08.2005,10:26:39,Hierarchy Test Field,Hierarchy Using Test Fields,Hierarchy using Test Fields (Fixed Structure IDOC Only)
0VER_DEVCLASS_HIER,D,HIER,0VERIFICATION-HIERARCHIES,,,F1,RSV7_DEVCLASS_HIER_TRANSFER,ROHIEROS,SAP,16.08.2010,15:09:06,Package Hierarchy,Package Hierarchy,Package Hierarchy
0TCTUPDMOD_TEXT,A,TEXT,TCT-MON-IO,,,D,RSUPDMODE,ROTEXTSTR1,DDIC,07.01.2025,22:46:13,Load Mode (Texts),Texts for Mode of Data Update,"Texts for Mode of Data Update (Full, Delta,...)"
0TCTUPDMOD_TEXT,D,TEXT,TCT-MON-IO,,,D,RSUPDMODE,ROTEXTSTR1,SAP,18.07.2012,14:01:46,Load Mode (Texts),Texts for Mode of Data Update,"Texts for Mode of Data Update (Full, Delta,...)"
0VTYPE_TEXT,D,TEXT,0CA_GD-IO,,,V,RSTVTYPE,BWE_VTYPE,SAP,24.06.2010,14:34:16,Value Type,Value Type,Value Type for Reporting
0IQM_TRANSTEPTYPET,D,TEXT,0VERIFICATION,,,V,RSTRANSTEPTYPET,RSIQMX_TRANSTEPTYPET,SAP,18.07.2012,14:01:06,IQM Checking Tech.,IQM Checking Technology - Texts,Checking Technology - Texts (Information Quality)
0RS_OBJTYP_TEXT_UPLOAD,D,TEXT,0BICONTENT_TOOLS,,,D,RSTLOGO,ROTEXTSTR1,SAP,13.04.2011,15:56:26,Object Type Text,Object Type Text,Object Type Text
0TCTTLOGO_TEXT,D,TEXT,TCT,,,D,RSTLOGO,ROTEXTSTR1,SAP,18.07.2012,14:01:45,Object Type,Object Type,BW Metadata: Object Type
0TCTTABCAT_TEXT,A,TEXT,TCT,,,D,RSTCTTABCAT,ROTEXTSTR1,DDIC,07.01.2025,22:46:13,Texts for Table Cat.,Texts for the DB Statistics's Table Cat.,Texts for the DB Statistics's Table Category Infoobject
0TCTTABCAT_TEXT,D,TEXT,TCT,,,D,RSTCTTABCAT,ROTEXTSTR1,SAP,09.06.2010,15:50:32,Texts for Table Cat.,Texts for the DB Statistics's Table Cat.,Texts for the DB Statistics's Table Category Infoobject
0TCTBWOTYPE_TEXT,A,TEXT,TCT,,,D,RSTCTLOGO,ROTEXTSTR1,DDIC,07.01.2025,22:45:58,BW Object Type,BW Object Type,BW Meta Data: BW Object Type - Text
0TCTBWOTYPE_TEXT,D,TEXT,TCT,,,D,RSTCTLOGO,ROTEXTSTR1,SAP,09.06.2010,15:50:06,BW Object Type,BW Object Type,BW Meta Data: BW Object Type - Text
0TCTDTCLASS_TEXT,A,TEXT,TCT,,,D,RSTCTDATACLASS,ROTEXTSTR1,DDIC,07.01.2025,22:46:01,Text for Data  Class,Text for Table Data Class Infoobject,Text for Table Data Class Infoobject
0TCTDTCLASS_TEXT,D,TEXT,TCT,,,D,RSTCTDATACLASS,ROTEXTSTR1,SAP,09.06.2010,15:50:10,Text for Data  Class,Text for Table Data Class Infoobject,Text for Table Data Class Infoobject
0TCTBWOBJCT_HIER,D,HIER,TCT,,,F1,RSTCTCB_HIERARCHY_TRANSFER,ROHIEROS,SAP,09.06.2010,15:50:05,BW Object - Hier.,BW Meta Data: BW Object - Hierarchies,BW Meta Data: BW Object - Hierarchies
0TCT_DS15,A,TRAN,TCT,,,F1,RSTCT_GET_DTA_DATA_STATUS,RSTC_S_EXTR_0TCT_EX15,DDIC,07.01.2025,22:46:25,BW datastorages with,BW datastorages with inconsistent data,BW datastorages with inconsistent & incomplete data
0TCT_DS15,D,TRAN,TCT,,,F1,RSTCT_GET_DTA_DATA_STATUS,RSTC_S_EXTR_0TCT_EX15,SAP,09.06.2010,15:50:44,BW datastorages with,BW datastorages with inconsistent data,BW datastorages with inconsistent & incomplete data
0TCT_DS25,A,TRAN,TCT,,,F1,RSTCT_GET_DB_STATISTICS,RSTC_S_EXTR_0TCT_EX25,DDIC,07.01.2025,22:46:30,DataSource DB stat.,DataSource for the DB Volume Statistics,DataSource for the DB Volume Statistics
0TCT_DS25,D,TRAN,TCT,,,F1,RSTCT_GET_DB_STATISTICS,RSTC_S_EXTR_0TCT_EX25,SAP,09.06.2010,15:50:48,DataSource DB stat.,DataSource for the DB Volume Statistics,DataSource for the DB Volume Statistics
0TCT_DS11,A,TRAN,TCT,,,F1,RSTC_GET_STATUS_DATA,RSTC_S_EXTR_0TCT_EX11,DDIC,07.01.2025,22:46:24,Data Load Status,Transaction Data - Load Status,BW Statistics: Transaction Data - Load Status
0TCT_DS11,D,TRAN,TCT,,,F1,RSTC_GET_STATUS_DATA,RSTC_S_EXTR_0TCT_EX11,SAP,09.06.2010,15:50:43,Data Load Status,Transaction Data - Load Status,BW Statistics: Transaction Data - Load Status
0TCT_DS12,A,TRAN,TCT,NEWE,,F1,RSTC_GET_STATUS_DATA,RSTC_S_EXTR_0TCT_EX12,DDIC,07.01.2025,22:46:25,Process Chain Status,Process Chain Status,BW Status: Process Chain Status
0TCT_DS12,D,TRAN,TCT,NEWE,,F1,RSTC_GET_STATUS_DATA,RSTC_S_EXTR_0TCT_EX12,SAP,04.08.2015,13:56:41,Process Chain Status,Process Chain Status,BW Status: Process Chain Status
0TCT_DS14,D,TRAN,TCT,,,F1,RSTC_GET_STATUS_DATA,RSTC_S_EXTR_0TCT_EX14,SAP,09.06.2010,15:50:44,Report Availability,Report Availability Status,Transactional data : Report Availability Status
0TCT_DS24,A,TRAN,TCT,NEWE,,F1,RSTC_GET_RDA_DATA,RSTC_S_EXTR_0TCT_EX24,DDIC,07.01.2025,22:46:29,RDA Statistics,Real Time Daemon Statistics,Real Time Daemon Statistics
0TCT_DS24,D,TRAN,TCT,NEWE,,F1,RSTC_GET_RDA_DATA,RSTC_S_EXTR_0TCT_EX24,SAP,09.06.2010,15:50:47,RDA Statistics,Real Time Daemon Statistics,Real Time Daemon Statistics
0TCTPRCSCHN_HIER,A,HIER,TCT,,,F1,RSTC_GET_PRCSCHN_HIER,ROHIEROS,DDIC,07.01.2025,22:46:07,BI Proc Chain - Hier,BI Meta Data: Process Chain - Hierarchy,BI Meta Data: Process Chain - Hierarchy
0TCTPRCSCHN_HIER,D,HIER,TCT,,,F1,RSTC_GET_PRCSCHN_HIER,ROHIEROS,SAP,09.06.2010,15:50:20,BI Proc Chain - Hier,BI Meta Data: Process Chain - Hierarchy,BI Meta Data: Process Chain - Hierarchy
0TCTIFAREA_HIER,A,HIER,TCT,,,F1,RSTC_GET_INFOAREA_HIER,ROHIEROS,DDIC,07.01.2025,22:46:03,BI InfoArea - Hier,BI Meta Data: InfoArea - Hierarchy,BI Meta Data: InfoArea - Hierarchy
0TCTIFAREA_HIER,D,HIER,TCT,,,F1,RSTC_GET_INFOAREA_HIER,ROHIEROS,SAP,09.06.2010,15:50:11,BI InfoArea - Hier,BI Meta Data: InfoArea - Hierarchy,BI Meta Data: InfoArea - Hierarchy
0TCT_DS05,A,TRAN,TCT,,,F1,RSTC_GET_CACHE_USAGE_DATA,RSTC_S_EXTR_0TCT_EX05,DDIC,07.01.2025,22:46:21,OLAP Cache: Memory c,OLAP Cache: Memory consumption,OLAP Cache: Memory consumption
0TCT_DS05,D,TRAN,TCT,,,F1,RSTC_GET_CACHE_USAGE_DATA,RSTC_S_EXTR_0TCT_EX05,SAP,09.06.2010,15:50:41,OLAP Cache: Memory c,OLAP Cache: Memory consumption,OLAP Cache: Memory consumption
0TCT_DS06,A,TRAN,TCT,,,F1,RSTC_GET_CACHE_USAGE_DATA,RSTC_S_EXTR_0TCT_EX06,DDIC,07.01.2025,22:46:22,OLAP Cache: Cache Vs,OLAP Cache: Cache Vs SHM,OLAP Cache: Cache Vs SHM
0TCT_DS06,D,TRAN,TCT,,,F1,RSTC_GET_CACHE_USAGE_DATA,RSTC_S_EXTR_0TCT_EX06,SAP,09.06.2010,15:50:42,OLAP Cache: Cache Vs,OLAP Cache: Cache Vs SHM,OLAP Cache: Cache Vs SHM
0TCT_DS07,A,TRAN,TCT,,,F1,RSTC_GET_CACHE_USAGE_DATA,RSTC_S_EXTR_0TCT_EX07,DDIC,07.01.2025,22:46:23,Query Memory consump,OLAP Cache: Query Memory consumption,OLAP Cache: Query Memory consumption
0TCT_DS07,D,TRAN,TCT,,,F1,RSTC_GET_CACHE_USAGE_DATA,RSTC_S_EXTR_0TCT_EX07,SAP,09.06.2010,15:50:42,Query Memory consump,OLAP Cache: Query Memory consumption,OLAP Cache: Query Memory consumption
0TCTBWOSTYP_TEXT,A,TEXT,TCT,,,F1,RSTC_GET_BWOSTYP_TEXT,RSTC_S_EXTR_BWOSTYP_TEXT,DDIC,07.01.2025,22:45:58,BW Sub Obj Type Type,BW Sub Obj Type - Type,BW Meta Data: BW Sub-Object Type -Text
0TCTBWOSTYP_TEXT,D,TEXT,TCT,,,F1,RSTC_GET_BWOSTYP_TEXT,RSTC_S_EXTR_BWOSTYP_TEXT,SAP,09.06.2010,15:50:06,BW Sub Obj Type Type,BW Sub Obj Type - Type,BW Meta Data: BW Sub-Object Type -Text
0TCT_DS26,A,TRAN,TCT,,,F1,RSTC_GET_BWA_USAGE_DATA,RSTCT_S_EXTR_0TCT_EX26,DDIC,07.01.2025,22:46:30,BWA Usage,BWA Usage Status,BWA Usage Status
0TCT_DS26,D,TRAN,TCT,,,F1,RSTC_GET_BWA_USAGE_DATA,RSTCT_S_EXTR_0TCT_EX26,SAP,18.07.2012,14:26:24,BWA Usage,BWA Usage Status,BWA Usage Status
0TCT_DS27,A,TRAN,TCT,,,F1,RSTC_GET_BWA_USAGE_DATA,RSTCT_S_EXTR_0TCT_WSP,DDIC,07.01.2025,22:46:31,Workspace Properties,Workspace Properties,Workspace Properties
0TCT_DS27,D,TRAN,TCT,,,F1,RSTC_GET_BWA_USAGE_DATA,RSTCT_S_EXTR_0TCT_WSP,SAP,18.07.2012,14:26:25,Workspace Properties,Workspace Properties,Workspace Properties
0TCT_DS28,A,TRAN,TCT,,,F1,RSTC_GET_BWA_USAGE_DATA,RSTCT_S_EXTR_0TCT_LPRO,DDIC,07.01.2025,22:46:32,Local provider prop,Workspace: Local provider properties,Local provider properties of workspace
0TCT_DS28,D,TRAN,TCT,,,F1,RSTC_GET_BWA_USAGE_DATA,RSTCT_S_EXTR_0TCT_LPRO,SAP,18.07.2012,14:26:26,Local provider prop,Workspace: Local provider properties,Local provider properties of workspace
0TCTAPPL_HIER,A,HIER,TCT,,,F1,RSTC_GET_APPL_HIER,ROHIEROS,DDIC,07.01.2025,22:45:55,BI Appl Comp - Hier,BI Meta Data: Appl Component - Hierarchy,BI Meta Data: Application Component - Hierarchy
0TCTAPPL_HIER,D,HIER,TCT,,,F1,RSTC_GET_APPL_HIER,ROHIEROS,SAP,09.06.2010,15:50:02,BI Appl Comp - Hier,BI Meta Data: Appl Component - Hierarchy,BI Meta Data: Application Component - Hierarchy
0TCTERRTYP_TEXT,A,TEXT,TCT,,,D,RSTC_ERROR_TYPE,ROTEXTSTR1,DDIC,07.01.2025,22:46:02,Text data source for,Text data source for error type in bw dt,Text data source for error type in bw dta and processes
0TCTERRTYP_TEXT,D,TEXT,TCT,,,D,RSTC_ERROR_TYPE,ROTEXTSTR1,SAP,18.07.2012,14:26:21,Text data source for,Text data source for error type in bw dt,Text data source for error type in bw dta and processes
0TCTERCAUSE_TEXT,A,TEXT,TCT,,,D,RSTC_DATALOAD_ERROR_STATE,ROTEXTSTR1,DDIC,07.01.2025,22:46:02,Text Datasource f,Text Datasource for DataLoad Failure Cau,Text Datasource for DataLoad Failure Cause
0TCTERCAUSE_TEXT,D,TEXT,TCT,,,D,RSTC_DATALOAD_ERROR_STATE,ROTEXTSTR1,SAP,09.06.2010,15:50:10,Text Datasource f,Text Datasource for DataLoad Failure Cau,Text Datasource for DataLoad Failure Cause
0TCTCACHTYP_TEXT,A,TEXT,TCT,,,D,RSTC_CACHE,ROTEXTSTR1,DDIC,07.01.2025,22:45:59,MD text Cache Type,Master data text: Cache Type,Master data text: Cache Type
0TCTCACHTYP_TEXT,D,TEXT,TCT,,,D,RSTC_CACHE,ROTEXTSTR1,SAP,09.06.2010,15:50:06,MD text Cache Type,Master data text: Cache Type,Master data text: Cache Type
0TCT_DS02,A,TRAN,TCT,NEWE,,F1,RSTC_BIRS_OLAP_DETAILED_DATA,RSTC_BIRS_OLAP_DETAILED_EX,DDIC,07.01.2025,22:46:19,OLAP: Detailed Data,OLAP: Detailed Data,OLAP: Detailed Data
0TCT_DS02,D,TRAN,TCT,NEWE,,F1,RSTC_BIRS_OLAP_DETAILED_DATA,RSTC_BIRS_OLAP_DETAILED_EX,SAP,09.06.2010,15:50:40,OLAP: Detailed Data,OLAP: Detailed Data,OLAP: Detailed Data
0TCT_DS01,A,TRAN,TCT,NEWE,,F1,RSTC_BIRS_OLAP_AGGREGATED_DATA,RSTC_BIRS_OLAP_AGGR_EX,DDIC,07.01.2025,22:46:18,OLAP:Aggregated data,OLAP: Aggregated Data,OLAP: Aggregated Data
0TCT_DS01,D,TRAN,TCT,NEWE,,F1,RSTC_BIRS_OLAP_AGGREGATED_DATA,RSTC_BIRS_OLAP_AGGR_EX,SAP,09.06.2010,15:50:39,OLAP:Aggregated data,OLAP: Aggregated Data,OLAP: Aggregated Data
0TCT_DSA1,A,TRAN,TCT,NEWE,,F1,RSTC_BIRS_OLAP_AGGR_DATA_A,RSTC_BIRS_OLAP_HAGGR_EX,DDIC,07.01.2025,22:46:34,OLAP:Highly AggrData,OLAP:Highly  Aggregated Data,OLAP:Highly  Aggregated Data
0TCT_DSA1,D,TRAN,TCT,NEWE,,F1,RSTC_BIRS_OLAP_AGGR_DATA_A,RSTC_BIRS_OLAP_HAGGR_EX,SAP,09.06.2010,15:50:50,OLAP:Highly AggrData,OLAP:Highly  Aggregated Data,OLAP:Highly  Aggregated Data
0TCT_DS03,A,TRAN,TCT,NEWE,,F1,RSTC_BIRS_DM_DETAILED_DATA,RSTC_BIRS_DM_DETAILED_EX,DDIC,07.01.2025,22:46:20,DM detailed data,Data Manager: Detailed Data,Data Manager: Detailed Data
0TCT_DS03,D,TRAN,TCT,NEWE,,F1,RSTC_BIRS_DM_DETAILED_DATA,RSTC_BIRS_DM_DETAILED_EX,SAP,09.06.2010,15:50:41,DM detailed data,Data Manager: Detailed Data,Data Manager: Detailed Data
0TCTOLAP_DM_TEXT,A,TEXT,TCT,,,D,RSTC_ACCESS_FLAG,ROTEXTSTR1,DDIC,07.01.2025,22:46:06,Text Datasource,Text Datasource for access flag,Text Datasource for access flag
0TCTOLAP_DM_TEXT,D,TEXT,TCT,,,D,RSTC_ACCESS_FLAG,ROTEXTSTR1,SAP,09.06.2010,15:50:19,Text Datasource,Text Datasource for access flag,Text Datasource for access flag
0TB_TALIM_CH,D,ATTR,0TB,,,V,RSTBBW_TALIM_CH,RSTBBW_TALIM_CH,SAP,21.04.2006,12:05:19,Limit Cat.- Cust.,Limit Category - Customizing,Limit Category - Customizing
0TCTSUBSTEP_ATTR,A,ATTR,TCT,,,V,RSSUBSTEP2EVID,ROXBR90196,DDIC,07.01.2025,22:46:11,DTP Sub-Step,DTP Sub-Step,BW Metadata: DTP Sub-Step
0TCTSUBSTEP_ATTR,D,ATTR,TCT,,,V,RSSUBSTEP2EVID,ROXBR90196,SAP,09.06.2010,15:50:31,DTP Sub-Step,DTP Sub-Step,BW Metadata: DTP Sub-Step
0TCTSRCTYPE_TEXT,A,TEXT,TCT-MON-IO,,,D,RSSRCTYPE,ROTEXTSTR1,DDIC,07.01.2025,22:46:10,SourceSystemTypeText,Texts for Source System Type,Texts for Source System Type
0TCTSRCTYPE_TEXT,D,TEXT,TCT-MON-IO,,,D,RSSRCTYPE,ROTEXTSTR1,SAP,18.07.2012,14:01:43,SourceSystemTypeText,Texts for Source System Type,Texts for Source System Type
0TCTWHMACT_TEXT,A,TEXT,TCT,,,D,RSSMACTIONTYPE,ROTEXTSTR1,DDIC,07.01.2025,22:46:15,Trans. Type (WHM),Transaction Type (WHM),BW Statistics: Transaction Type (WHM)
