Compute ID ,Version,Provider For Query ,GENUNIID,Component Type ,Query ID,Object Status,READMODE,ABAP Code,Created By ,Generation Time ,Generation Date (Last Execution Time),Last Used By ,Definition Changed Time ,Last Chnaged Date,Last Change Of Query Runtime Obj
3B7YKV4Z9FVI6MN88JFG6C349,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0200,REP,0TCT_MC01_Q0200,INA,H,GP00O2TLBMVQGBNT985Z60R4CJU,SAP,"2,01,60,51,71,13,651",20160517,SAP,"2,00,51,00,71,55,852",20051007,"2,01,60,51,71,13,651"
3B7YKV4Z9FVI6MN88JFG6C349,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0200,REP,0TCT_MC01_Q0200,ACT,H,GP00O2TLBMVQGBNT985Z60R4CJU,SAP,"2,01,60,51,71,13,651",20160517,SAP,"2,00,51,00,71,55,852",20051007,"2,01,60,51,71,13,651"
5Z87ACQBHTN721X8BQ6RYVYYX,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0134,REP,0TCT_MC01_Q0134,INA,H,GP00O2TLBMVQGBNW85Q3C79T01W,SAP,"2,01,60,61,60,62,742",20160616,SAP,"2,01,60,51,91,44,022",20160519,"2,01,60,61,60,62,742"
5Z87ACQBHTN721X8BQ6RYVYYX,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0134,REP,0TCT_MC01_Q0134,ACT,H,GP00O2TLBMVQGBNW85Q3C79T01W,SAP,"2,01,60,61,60,62,742",20160616,SAP,"2,01,60,51,91,44,022",20160519,"2,01,60,61,60,62,742"
55E17PA0AH9T1NDDCI9G6CYQ1,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0133,REP,0TCT_MC01_Q0133,INA,H,GP7KU36MOUFNCESTR3T3NKBPRFM,SAP,"2,00,70,21,81,21,610",20070218,SAP,"2,00,70,41,80,63,020",20070418,"2,00,70,42,21,04,138"
55E17PA0AH9T1NDDCI9G6CYQ1,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0133,REP,0TCT_MC01_Q0133,ACT,H,GP7KU36MOUFNCESTR3T3NKBPRFM,SAP,"2,00,70,21,81,21,610",20070218,SAP,"2,00,70,41,80,63,020",20070418,"2,00,70,42,21,04,138"
430YJPZBLLXQGK39INI10JDU1,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0132,REP,0TCT_MC01_Q0132,INA,H,GP7KU36MOUFNCESTR3GVVGKCO1L,SAP,"2,00,70,21,81,20,909",20070218,SAP,"2,00,70,13,00,74,014",20070130,"2,00,70,21,81,20,909"
430YJPZBLLXQGK39INI10JDU1,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0132,REP,0TCT_MC01_Q0132,ACT,H,GP7KU36MOUFNCESTR3GVVGKCO1L,SAP,"2,00,70,21,81,20,909",20070218,SAP,"2,00,70,13,00,74,014",20070130,"2,00,70,21,81,20,909"
2JM2P2ZVXOOAQ3CNZJ2F44NNT,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0131,REP,0TCT_MC01_Q0131,INA,H,GP00O2TLBMVQGDE81EUQPDS0P9M,SAP,"2,01,60,62,70,82,732",20160627,SAP,"2,01,60,62,70,81,725",20160627,"2,01,60,62,70,82,732"
2JM2P2ZVXOOAQ3CNZJ2F44NNT,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0131,REP,0TCT_MC01_Q0131,ACT,H,GP00O2TLBMVQGDE81EUQPDS0P9M,SAP,"2,01,60,62,70,82,732",20160627,SAP,"2,01,60,62,70,81,725",20160627,"2,01,60,62,70,82,732"
7KU36MOUFNCES87QI13TC45C0,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0125,REP,0TCT_MC01_Q0125,INA,H,GP7KU36MOUFNCESRCR0NUFRJ0WZ,SAP,"2,00,70,12,50,61,414",20070125,SAP,"2,00,70,12,50,60,237",20070125,"2,00,70,12,50,61,414"
7KU36MOUFNCES87QI13TC45C0,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0125,REP,0TCT_MC01_Q0125,ACT,H,GP7KU36MOUFNCESRCR0NUFRJ0WZ,SAP,"2,00,70,12,50,61,414",20070125,SAP,"2,00,70,12,50,60,237",20070125,"2,00,70,12,50,61,414"
CNBH5HXTO5HE3483F9YQOEAON,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0124,REP,0TCT_MC01_Q0124,INA,H,GP7KU36MOUFNCESTR3GKFKD1MGM,SAP,"2,00,70,21,81,20,858",20070218,SAP,"2,00,70,41,80,62,557",20070418,"2,00,70,42,21,03,549"
CNBH5HXTO5HE3483F9YQOEAON,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0124,REP,0TCT_MC01_Q0124,ACT,H,GP7KU36MOUFNCESTR3GKFKD1MGM,SAP,"2,00,70,21,81,20,858",20070218,SAP,"2,00,70,41,80,62,557",20070418,"2,00,70,42,21,03,549"
5DBTXQQTKTTNEC1XI557YW4NR,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0123,REP,0TCT_MC01_Q0123,INA,H,GP00O2TLBMVQGDE7LQAULK9AMJ9,SAP,"2,01,60,62,40,81,236",20160624,SAP,"2,01,60,51,91,44,022",20160519,"2,01,60,62,40,81,236"
5DBTXQQTKTTNEC1XI557YW4NR,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0123,REP,0TCT_MC01_Q0123,ACT,H,GP00O2TLBMVQGDE7LQAULK9AMJ9,SAP,"2,01,60,62,40,81,236",20160624,SAP,"2,01,60,51,91,44,022",20160519,"2,01,60,62,40,81,236"
0T2IBH14X8LY81EJT1ZJ4EAOM,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0122,REP,0TCT_MC01_Q0122,INA,H,GP7KU36MOUFNCESTR3G7B245GH5,SAP,"2,00,70,21,81,20,845",20070218,SAP,"2,00,70,13,00,61,533",20070130,"2,00,70,21,81,20,845"
0T2IBH14X8LY81EJT1ZJ4EAOM,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0122,REP,0TCT_MC01_Q0122,ACT,H,GP7KU36MOUFNCESTR3G7B245GH5,SAP,"2,00,70,21,81,20,845",20070218,SAP,"2,00,70,13,00,61,533",20070130,"2,00,70,21,81,20,845"
8OY3VO9CKYZ0Y1T9994HDUJ6G,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0121,REP,0TCT_MC01_Q0121,INA,H,GP7KU36MOUFNCET0UYXNP1MUNKW,SAP,"2,00,70,42,51,20,921",20070425,SAP,"2,00,70,42,51,20,903",20070425,"2,00,70,42,51,20,921"
8OY3VO9CKYZ0Y1T9994HDUJ6G,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0121,REP,0TCT_MC01_Q0121,INA,H,GP7KU36MOUFNCET0UYXNP1MUNKW,SAP,"2,00,70,42,51,20,921",20070425,SAP,"2,00,70,42,51,20,903",20070425,"2,00,70,42,51,20,921"
7KU36MOUFNCES87QUP2NWXR6V,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0115,REP,0TCT_MC01_Q0115,INA,H,GP7KU36MOUFNCESQYZY57ZL7QIP,SAP,"2,00,70,12,30,60,128",20070123,SAP,"2,00,70,12,30,60,043",20070123,"2,00,70,12,30,60,204"
7KU36MOUFNCES87QUP2NWXR6V,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0115,REP,0TCT_MC01_Q0115,ACT,H,GP7KU36MOUFNCESQYZY57ZL7QIP,SAP,"2,00,70,12,30,60,128",20070123,SAP,"2,00,70,12,30,60,043",20070123,"2,00,70,12,30,60,204"
DPOJTH8ID0TGO7I794Q5U7VKN,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0114,REP,0TCT_MC01_Q0114,INA,H,GP7KU36MOUFNCESTR3ENAMLOTAJ,SAP,"2,00,70,21,81,20,752",20070218,SAP,"2,00,70,41,80,62,212",20070418,"2,00,70,41,80,62,236"
DPOJTH8ID0TGO7I794Q5U7VKN,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0114,REP,0TCT_MC01_Q0114,ACT,H,GP7KU36MOUFNCESTR3ENAMLOTAJ,SAP,"2,00,70,21,81,20,752",20070218,SAP,"2,00,70,41,80,62,212",20070418,"2,00,70,41,80,62,236"
7OG5PP7Z2PPT015TSTSMTI7X3,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0113,REP,0TCT_MC01_Q0113,INA,H,GP7KU36MOUFNCESTR3EQKEUKDY6,SAP,"2,00,70,21,81,20,756",20070218,SAP,"2,00,70,41,80,62,316",20070418,"2,00,70,42,21,03,522"
7OG5PP7Z2PPT015TSTSMTI7X3,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0113,REP,0TCT_MC01_Q0113,ACT,H,GP7KU36MOUFNCESTR3EQKEUKDY6,SAP,"2,00,70,21,81,20,756",20070218,SAP,"2,00,70,41,80,62,316",20070418,"2,00,70,42,21,03,522"
3NIRN3VLSRC78CRNC1L1JIH07,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0112,REP,0TCT_MC01_Q0112,INA,H,GP7KU36MOUFNCESTR3EEW8IQWRB,SAP,"2,00,70,21,81,20,722",20070218,SAP,"2,00,70,12,30,55,634",20070123,"2,00,70,21,81,20,722"
3NIRN3VLSRC78CRNC1L1JIH07,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0112,REP,0TCT_MC01_Q0112,ACT,H,GP7KU36MOUFNCESTR3EEW8IQWRB,SAP,"2,00,70,21,81,20,722",20070218,SAP,"2,00,70,12,30,55,634",20070123,"2,00,70,21,81,20,722"
8QTJ63W5KGQVEE646EDTRAFTJ,A,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0111,REP,0TCT_MC01_Q0111,INA,H,GP00O2TLBMVQGDE7LPGQ35QG4HJ,SAP,"2,01,60,62,40,75,517",20160624,SAP,"2,01,60,62,40,75,511",20160624,"2,01,60,62,40,75,517"
8QTJ63W5KGQVEE646EDTRAFTJ,D,0TCT_MC01,0TCT_MC01/0TCT_MC01_Q0111,REP,0TCT_MC01_Q0111,ACT,H,GP00O2TLBMVQGDE7LPGQ35QG4HJ,SAP,"2,01,60,62,40,75,517",20160624,SAP,"2,01,60,62,40,75,511",20160624,"2,01,60,62,40,75,517"
0008I83HW93DWWZD4U7KDGYHZ,A,0BPCBPFVP,0BPCBPFVP/0BPC_BPF_INSTANCE_REP,REP,0BPC_BPF_INSTANCE_REP,INA,X,,SAP,0,0,SAP,"2,01,30,71,20,62,934",20130712,0
0008I83HW93DWWZD4U7KDGYHZ,D,0BPCBPFVP,0BPCBPFVP/0BPC_BPF_INSTANCE_REP,REP,0BPC_BPF_INSTANCE_REP,INA,X,,SAP,0,0,SAP,"2,01,30,71,20,62,934",20130712,0
0008I83HW93C6ML71JJV0R0FT,A,0BPCBPFVP,0BPCBPFVP/0BPC_BPF_ACTIVITY_REP,REP,0BPC_BPF_ACTIVITY_REP,INA,X,GP5I3Y6060H25K3H0MOD8HGUWGB,SAP,"2,01,41,20,20,74,849",20141202,SAP,"2,01,40,91,11,10,157",20140911,"2,01,41,20,20,74,849"
0008I83HW93C6ML6NYH23G7O2,A,0BPCBPFVP,0BPCBPFVP/0BPC_BPF_ACTIVITY_PAGE_REP,REP,0BPC_BPF_ACTIVITY_PAGE_REP,INA,X,,SAP,0,0,SAP,"2,01,30,71,20,71,038",20130712,0
0008I83HW93C6ML6NYH23G7O2,D,0BPCBPFVP,0BPCBPFVP/0BPC_BPF_ACTIVITY_PAGE_REP,REP,0BPC_BPF_ACTIVITY_PAGE_REP,INA,X,,SAP,0,0,SAP,"2,01,30,71,20,71,038",20130712,0
$$DEFAULT,A,$$DEFAULT,$$DEFAULT/,,,INA,,,SAP,0,0,SAP,"2,01,10,91,00,64,907",20110910,0
003N7L7ESYA7P9FO1KF4E9X09,M,Z_TEST,,REP,ZXCVBNM,INA,H,,,0,0,BEST,"2,02,50,31,91,24,303",20250319,0
003N7L7ESY9JE8KTAPHCUMC4K,M,ZVI_DSDC,,REP,ZVI_DSDC_Q001,INA,H,,,0,0,BEST,"2,02,50,22,61,93,035",20250226,0
003N7L7ESY9JE8KP1VZ8LK0C6,M,ZVIFI_DS,,REP,ZVI_COMFIN_Q001,INA,H,,,0,0,BEST,"2,02,50,22,61,80,252",20250226,0
003N7L7ESYA9FPYEDYNXS2YRT,M,Z_VANDSO,,REP,ZVANGI,INA,H,,,0,0,BEST,"2,02,50,51,61,02,812",20250516,0
41OW7AQLHGCAM45IFBN06ZLTX,D,0ESM_M02,,REP,ZUC_ESA_ITEM_TEST,ACT,H,GP7KU36MOUFNCES8F5XHBJ9N9P6,SAP,"2,00,60,80,40,74,809",20060804,SAP,"2,00,60,80,40,82,451",20060804,"2,00,60,80,40,82,507"
003N7L7ESYA7PB4ZIA8FFXR16,M,ZIC_ET,,REP,ZTR_REP,INA,H,,,0,0,BEST,"2,02,50,40,42,22,423",20250404,0
003N7L7ESYA7PB52CM7EQF6Z0,M,ZIC_ET,,REP,ZTOP_N,INA,H,,,0,0,BEST,"2,02,50,40,42,32,308",20250404,0
003N7L7ESYA7PIDUR6GUKG4XW,M,ZTGLIC,,REP,ZTGLREPORT,INA,H,,,0,0,BEST,"2,02,50,61,21,21,920",20250612,0
003N7L7ESYA9FQI5XM4SUI1A9,M,ZST_ODS,,REP,ZST_QUERY,INA,X,,,0,0,BEST,"2,02,50,52,11,32,023",20250521,0
003N7L7ESYA7PC5F767W54HNB,M,ZAGGRE,,REP,ZREAL_AGGRE_DATA,INA,H,,,0,0,BEST,"2,02,50,41,31,34,658",20250413,0
003N7L7ESYA7PNP6K2FQJZIQC,M,ZDN_CANDY,,REP,ZPQN_CNDY,INA,H,,,0,0,BEST,"2,02,50,73,01,03,716",20250730,0
003N7L7ESYA7PC57RT5VFRG2M,M,ZG_TEST,,REP,ZN_QRY1,INA,H,,,0,0,BEST,"2,02,50,41,31,11,330",20250413,0
003N7L7ESYA7PB5534QJ3MODS,M,ZIC_ET,,REP,ZMTD2_REP,INA,H,,,0,0,BEST,"2,02,50,40,50,01,940",20250405,0
003N7L7ESYA7P8XZ7QZAKD4S6,M,ZMSHMPR12,,REP,ZMSHMPR12_Q001,INA,H,,,0,0,BEST,"2,02,50,31,51,13,443",20250315,0
003N7L7ESY9HNYRR6G34HK7CY,M,ZIC_EKBE,,REP,ZMP_EKBE_Q001,INA,H,,,0,0,BEST,"2,02,50,30,41,55,217",20250304,0
003N7L7ESYA7PB52OJ3IPH1K3,M,ZIC_ET,,REP,ZMONTH,INA,H,,,0,0,BEST,"2,02,50,40,42,32,958",20250404,0
6DDF9MHDDGQMDLDI5VGDYXHKH,D,0SEM_A01,,REP,ZMHTEST_C06_A01_IRQ0001,ACT,H,GP5QU436CIL0OQXTGGWCYE22S34,SAP,"2,00,60,40,70,92,818",20060407,SAP,"2,00,60,40,70,93,632",20060407,"2,00,60,40,70,93,904"
003N7L7ESYA9FKHGUKXVWKTIP,M,ZM_PRDID,,REP,ZL_FILTER,INA,H,,,0,0,BEST,"2,02,50,32,61,44,154",20250326,0
003N7L7ESYA9FKHH0M38NHOQI,M,Z_IN1,,REP,ZL_FIL,INA,H,,,0,0,BEST,"2,02,50,32,61,44,522",20250326,0
DJGAFEMNBZ14C3NLQISJD80FL,D,0IEP_C01,,REP,ZIEP_Q003,ACT,H,GP3ZU94R68136T3SXPPHVZL0N3Z,SAP,"2,00,51,11,81,41,650",20051118,SAP,"2,00,51,11,81,41,359",20051118,"2,00,51,11,81,41,650"
9QMIOCZW6K4I82OHCK2FR9AK0,D,0IEP_C01,,REP,ZIEP_Q001,ACT,H,GPCVL0IYXCVSE1U6C8MGN6EEE28,SAP,"2,00,51,11,61,32,927",20051116,SAP,"2,00,51,11,61,32,901",20051116,"2,00,51,11,61,33,018"
003N7L7ESYA9FZ51LH3X26K50,M,ZAN_G2K,,SOB,ZFN_UNITC,INA,H,,,0,0,BEST,"2,02,50,80,81,64,603",20250808,0
003N7L7ESYA7POEL38HRDYL1B,M,ZAN_RVTOY,,SOB,ZFN_RVTOYS,INA,H,,,0,0,BEST,"2,02,50,80,71,12,339",20250807,0
003N7L7ESYA9FYRG3USAAPUDB,M,ZAN_RPTOY,,SOB,ZFN_RPTOYS,INA,H,,,0,0,BEST,"2,02,50,80,61,82,205",20250806,0
003N7L7ESYA7POEY46JHDDXJ6,M,ZAN_PRDT,,SOB,ZFN_PRDT,INA,H,,,0,0,BEST,"2,02,50,80,71,55,248",20250807,0
003N7L7ESYA7POENIT3YSPXAB,M,ZAN_GCTOY,,SOB,ZFN_GCTOYS,INA,H,,,0,0,BEST,"2,02,50,80,71,21,354",20250807,0
003N7L7ESYA9FZ55QSW7C5L7U,M,ZAN_UCG2K,,SOB,ZFN_G2K,INA,H,,,0,0,BEST,"2,02,50,80,81,81,145",20250808,0
003N7L7ESYA9FYRCF24DAM9D8,M,ZAN_FTOYS,,SOB,ZFN_FTOYS,INA,H,,,0,0,BEST,"2,02,50,80,61,70,552",20250806,0
003N7L7ESYA7POWEJJA4Z1ARF,M,ZAN_FCTOY,,SOB,ZFN_FCTOYS,INA,H,,,0,0,BEST,"2,02,50,81,11,40,733",20250811,0
003N7L7ESYA9FYRF18SOVBQ2H,M,ZAN_DTOYS,,SOB,ZFN_DTOYS,INA,H,,,0,0,BEST,"2,02,50,80,61,75,955",20250806,0
003N7L7ESYA7POEU6XWOAVYLH,M,ZAN_DRTOY,,SOB,ZFN_DRTOYS_FF,INA,H,,,0,0,BEST,"2,02,50,80,71,43,144",20250807,0
003N7L7ESYA7POEOMKPURYMFQ,M,ZAN_DRTOY,,SOB,ZFN_DRTOYS,INA,H,,,0,0,BEST,"2,02,50,80,71,23,644",20250807,0
003N7L7ESYA7POEVHX0C7TYKM,M,ZAN_DKTOY,,SOB,ZFN_DKTOYS_FF,INA,H,,,0,0,BEST,"2,02,50,80,71,45,842",20250807,0
003N7L7ESYA7POEVZDU1AVEY9,M,ZAN_DKTOY,,SOB,ZFN_DKTOYS,INA,H,,,0,0,BEST,"2,02,50,80,71,50,843",20250807,0
003N7L7ESYA9G0DGD9MXBW7G7,M,ZAN_DEC,,SOB,ZFN_DEC,INA,H,,,0,0,BEST,"2,02,50,82,11,10,026",20250821,0
003N7L7ESYA9FYR511JSLCTE7,M,ZAN_CTOYS,,SOB,ZFN_CTOYS,INA,H,,,0,0,BEST,"2,02,50,80,61,43,311",20250806,0
003N7L7ESYA7POW5ORX4WO1E6,M,ZAN_UNITC,,SOB,ZFN_0CURR,INA,H,,,0,0,BEST,"2,02,50,81,11,10,435",20250811,0
003N7L7ESY9JE985L91MB9FTW,M,ZIC_EKBE,,SOB,ZFMOV_TYP,INA,H,,,0,0,BEST,"2,02,50,30,51,84,300",20250305,0
003N7L7ESYA7PO8NAQP9IZ496,M,ZALN_YEAR,,SOB,ZFLN_YEARLY_MONTHS,INA,H,,,0,0,BEST,"2,02,50,80,40,94,611",20250804,0
003N7L7ESYA7POAPEIH7C6IX2,M,ZALN_YEAR,,SOB,ZFLN_YEARLY_FOR_FLAT_FILE,INA,H,,,0,0,BEST,"2,02,50,80,51,11,723",20250805,0
003N7L7ESYA7PNTIFX6H4APIV,M,ZALN_YEAR,,SOB,ZFLN_YEARLY,INA,H,,,0,0,BEST,"2,02,50,80,11,61,813",20250801,0
003N7L7ESYA9FY5R90BQANLMM,M,ZQAN_CNDY,,SOB,ZFLN_QCNDY,INA,H,,,0,0,BEST,"2,02,50,73,11,53,746",20250731,0
003N7L7ESYA9FY5FN1HZ90DXV,M,ZALN_CNDY,,SOB,ZFLN_CNDY,INA,H,,,0,0,BEST,"2,02,50,73,11,13,752",20250731,0
003N7L7ESYA9FY5B9L3KTN2MR,B,ZALN_CNDY,,SOB,ZFLN_CNDY,INA,H,,,0,0,BEST,"2,02,50,73,11,11,738",20250731,0
003N7L7ESY9JE97XCPT0ODIW9,M,ZDSO_ET,,REP,ZEMP_TRANS_DATA_Q01,INA,H,,,0,0,BEST,"2,02,50,30,51,55,248",20250305,0
003N7L7ESY9HNYXL8CCFWABLS,M,ZDSOEKBE,,REP,ZEKBE_QUERY_002,INA,H,,,0,0,BEST,"2,02,50,30,71,61,228",20250307,0
003N7L7ESY9HNYXL2SB9P3QCV,M,ZDSOEKBE,,REP,ZEKBE_QUERY_001,INA,H,,,0,0,BEST,"2,02,50,30,71,60,917",20250307,0
003N7L7ESYA7POALGINGJD4QN,M,ZN_SINGLE,,SOB,ZDN_SINGLE_FILTER,INA,H,,,0,0,BEST,"2,02,50,80,50,95,553",20250805,0
003N7L7ESYA9FPCXMP3PKILYP,M,ZDEL_IC,,REP,ZDELIVERY_NUM_Q001,INA,H,,,0,0,BEST,"2,02,50,51,01,03,115",20250510,0
003N7L7ESYA7PQGT9D86NNWX6,M,CZD_AGG,,SOB,ZD_FILTER_REF_UNIT_FILE,INA,H,,,0,0,BEST,"2,02,50,82,51,05,651",20250825,0
003N7L7ESYA7PQH91GHLPF9GG,M,CZD_AGG,,SOB,ZD_FILTER_REF_UNIT,INA,H,,,0,0,BEST,"2,02,50,82,51,62,255",20250825,0
003N7L7ESYA9G0X20OKYVI47K,M,CZD_AGG,,SOB,ZD_FILTER_REF_FORECAST_FILE,INA,H,,,0,0,BEST,"2,02,50,82,61,15,046",20250826,0
003N7L7ESYA9G0X3HZ6DOBY37,M,CZD_AGG,,SOB,ZD_FILTER_REF_FORECAST,INA,H,,,0,0,BEST,"2,02,50,82,61,22,122",20250826,0
003N7L7ESYA7PPVW0WMN903GV,M,CZD_AGG,,SOB,ZD_FILTER_REF_FILE,INA,H,,,0,0,BEST,"2,02,50,81,91,74,316",20250819,0
003N7L7ESYA7POF3ZQTTR8IC5,M,CZD_AGG,,SOB,ZD_FILTER_REF_DATA,INA,H,,,0,0,BEST,"2,02,50,80,71,75,414",20250807,0
003N7L7ESYA9G0BK0DDCSUFNA,M,CZD_AGG,,SOB,ZD_FILTER_REF_CURR,INA,H,,,0,0,BEST,"2,02,50,82,01,12,757",20250820,0
003N7L7ESYA7PPVQCK8M481CM,M,CZD_AGG,,SOB,ZD_FILTER_REF_COMB,INA,H,,,0,0,BEST,"2,02,50,81,91,54,559",20250819,0
003N7L7ESYA7PP9T1B25JS3GE,M,CZD_AGG,,SOB,ZD_FILTER_DELTE,INA,H,,,0,0,BEST,"2,02,50,81,31,00,657",20250813,0
003N7L7ESYA9FYR6I6NBTY7UZ,M,ZD_AGG,,SOB,ZD_FILTER,INA,H,,,0,0,BEST,"2,02,50,80,61,50,341",20250806,0
003N7L7ESYA7PC7GJ19X0O45C,M,ZG_CSTM,,REP,Z_QRY2,INA,H,,,0,0,BEST,"2,02,50,41,41,50,207",20250414,0
003N7L7ESYA7PC57R2L06ICDA,M,ZG_TEST,,REP,Z_QRY1,INA,H,,,0,0,BEST,"2,02,50,41,31,11,306",20250413,0
003N7L7ESYA7PEHAS7A58BV0S,M,ZBILL_MP,,REP,Z_BILL_DATA_Q0022,INA,H,,,0,0,BEST,"2,02,50,50,61,25,836",20250506,0
003N7L7ESYA9FOTVB9KKZTJH5,M,ZBILL_MP,,REP,Z_BILL_DATA_Q001,INA,H,,,0,0,BEST,"2,02,50,50,51,62,020",20250505,0
003N7L7ESYA9FPY8GQJ47UQUH,M,ZA_IC,,REP,Z_AKSHITHAQUERY,INA,H,,,0,0,BEST,"2,02,50,51,60,82,550",20250516,0
003N7L7ESYA9FPY5D49GMSMZ7,M,Z_A_ADSO,,REP,Z_ADSOQ,INA,H,,,0,0,BEST,"2,02,50,51,60,72,145",20250516,0
003N7L7ESYA9FJVUJE9DLSEUE,M,Z_TRNID,,REP,WERTYUI,INA,H,,,0,0,BEST,"2,02,50,32,01,25,013",20250320,0
003N7L7ESYA9FPYHPYU9DWN12,M,Z_VANDSO,,REP,VANGIRICE,INA,H,,,0,0,BEST,"2,02,50,51,61,13,706",20250516,0
7KU37C7GI8C3XHKBNWKFPVZTH,D,0TSW_C02,,REP,TKT_QUERY1,ACT,H,GP7KU37C7GI8C3XI1VUJTFURR94,SAP,"2,00,60,82,20,53,045",20060822,SAP,"2,00,60,83,01,11,226",20060830,"2,00,60,83,01,11,238"
8E5Q3SEEEGHA44I9DD4PTZTC9,D,0SD_C03,,REP,TESTMK,ACT,H,GPDWD9VORLYYDNH3GH5M2E62N9L,SAP,"2,00,10,42,51,41,836",20010425,SAP,"2,00,10,42,51,51,639",20010425,0
7KU37C7IG3T7AC1IQYEUB9MMF,D,0TSW_C03,,REP,SPW1,ACT,H,GP7KU37C7GI8C3XFUDA8EG6I52E,SAP,"2,00,60,80,11,22,318",20060801,SAP,"2,00,60,72,81,45,153",20060728,"2,00,60,80,11,22,318"
EU4LU29EPDK3WKJ6FL5OJKJ6Z,D,/RWC/CSAKNR,,REP,RWC_EXPORTQ_SAKNR_01,INA,H,,SAP,0,0,SAP,"2,00,90,42,00,84,144",20090420,0
0DT6Z108Z2AN160Q0XVMK9C16,D,/RWC/C2544,,REP,RWC_EXPORTQ_ORDER,INA,H,,SAP,0,0,SAP,"2,00,90,42,01,12,225",20090420,0
BZ1A377YKKF4O3NND4F1CN0A2,D,/RWC/VPMSEG,,REP,RWC_EXPORTQ_MSEG_01,INA,H,,SAP,0,0,SAP,"2,00,90,42,10,61,446",20090421,0
9YKL1WJRXL8BS9GK4QB8PN4TM,D,/RWC/VPMKPF,,REP,RWC_EXPORTQ_MKPF_01,INA,H,,SAP,0,0,SAP,"2,00,90,42,10,61,326",20090421,0
7009NAI3CI6SLOCHHSV2LGYSQ,D,/RWC/C2547,,REP,RWC_EXPORTQ_MATNR,INA,H,,SAP,0,0,SAP,"2,00,90,42,10,61,207",20090421,0
CTNWSRL82EDB0QC3771VWKNQJ,D,/RWC/CLIFNR,,REP,RWC_EXPORTQ_LIFNR_01,INA,H,,SAP,0,0,SAP,"2,00,90,42,00,84,011",20090420,0
2N3KWH23QIBXXQFVPCREKVA5N,D,/RWC/VPLFC1,,REP,RWC_EXPORTQ_LFC1_01,INA,H,,SAP,0,0,SAP,"2,00,90,42,00,85,529",20090420,0
4PP033OVQV9EYQTJ5EKQ26SRV,D,/RWC/VPLFAS,,REP,RWC_EXPORTQ_LFAS,INA,H,,SAP,0,0,SAP,"2,00,90,42,00,85,642",20090420,0
AMT1BH19B9YHPDLBBTTIQLUSR,D,/RWC/CKUNNR,,REP,RWC_EXPORTQ_KUNNR_01,INA,H,,SAP,0,0,SAP,"2,00,90,42,00,83,834",20090420,0
11JYWI42P7BU23IPYKM9U4WTN,D,/RWC/VPKNC1,,REP,RWC_EXPORTQ_KNC1_01,INA,H,,SAP,0,0,SAP,"2,00,90,42,00,85,411",20090420,0
EPVGBTPPRHRRFHW8JZKEMVVVV,D,/RWC/VPKNAS,,REP,RWC_EXPORTQ_KNAS,INA,H,,SAP,0,0,SAP,"2,00,90,42,00,85,255",20090420,0
D4BUBUROQ6RNJUZ2T7F9W5IJV,D,/RWC/VPGLT0,,REP,RWC_EXPORTQ_GLT0_01,INA,H,,SAP,0,0,SAP,"2,00,90,42,00,85,104",20090420,0
B84LL80OTZ26YD5404QIXSXEZ,D,/RWC/VPBSIS,,REP,RWC_EXPORTQ_BSIS_01,INA,H,,SAP,0,0,SAP,"2,00,90,42,00,85,007",20090420,0
8QM3D9NR7XY0X5HJ2GYJK7WOB,D,/RWC/VPBSIK,,REP,RWC_EXPORTQ_BSIK_01,INA,H,,SAP,0,0,SAP,"2,00,90,42,00,84,910",20090420,0
60KOJZGG4DV6B93PA6CGTCBAJ,D,/RWC/VPBSID,,REP,RWC_EXPORTQ_BSID_01,INA,H,,SAP,0,0,SAP,"2,00,90,42,00,84,802",20090420,0
